Date,Rain,max_temp,min_temp
2015-10-1,1,64,56
2015-10-2,1,57,48
2015-10-3,1,55,49
2015-10-4,0,63,53
2015-10-5,0,67,52
2015-10-6,0,73,52
2015-10-7,0,73,58
2015-10-8,0,72,59
2015-10-9,1,78,61
2015-10-10,0,65,50
2015-10-11,0,69,53
2015-10-12,0,77,56
2015-10-13,1,72,61
2015-10-14,0,69,57
2015-10-15,0,64,51
2015-10-16,0,64,53
2015-10-17,0,56,42
2015-10-18,0,50,38
2015-10-19,0,53,35
2015-10-20,0,70,48
2015-10-21,0,76,57
2015-10-22,0,75,58
2015-10-23,0,65,45
2015-10-24,0,57,40
2015-10-25,1,68,48
2015-10-26,0,58,46
2015-10-27,0,59,45
2015-10-28,1,69,53
2015-10-29,1,73,57
2015-10-30,0,61,48
2015-10-31,0,56,42
