Date,Rain,max_temp,min_temp
2015-08-01,0,89,75
2015-08-02,0,89,71
2015-08-03,0,90,75
2015-08-04,1,89,69
2015-08-05,0,87,72
2015-08-06,0,83,67
2015-08-07,0,84,69
2015-08-08,0,82,68
2015-08-09,0,85,68
2015-08-10,0,84,70
2015-08-11,1,81,71
2015-08-12,0,85,71
2015-08-13,0,83,67
2015-08-14,0,88,67
2015-08-15,0,92,93
2015-08-16,0,93,76
2015-08-17,0,95,78
2015-08-18,1,90,73
2015-08-19,0,87,77
2015-08-20,1,86,77
2015-08-21,1,87,71
2015-08-22,0,86,69
2015-08-23,0,85,70
2015-08-24,0,87,73
2015-08-25,0,90,73
2015-08-26,0,85,67
2015-08-27,0,82,67
2015-08-28,0,82,63
2015-08-29,0,87,67
2015-08-30,1,90,72
2015-08-31,0,91,76
