Date,Rain,max_temp,min_temp
2015-09-01,0,90,76
2015-09-02,0,91,74
2015-09-03,0,93,74
2015-09-04,0,85,72
2015-09-05,0,83,67
2015-09-06,0,87,65
2015-09-07,0,92,70
2015-09-08,0,97,76
2015-09-09,1,90,76
2015-09-10,1,79,70
2015-09-11,0,81,66
2015-09-12,1,79,69
2015-09-13,1,80,62
2015-09-14,0,77,59
2015-09-15,0,84,62
2015-09-16,0,88,66
2015-09-17,0,89,68
2015-09-18,0,87,68
2015-09-19,0,83,68
2015-09-20,0,79,64
2015-09-21,0,73,59
2015-09-22,0,71,62
2015-09-23,0,80,59
2015-09-24,0,82,60
2015-09-25,0,76,63
2015-09-26,0,72,61
2015-09-27,0,71,56
2015-09-28,1,78,65
2015-09-29,1,83,72
2015-09-30,1,79,59
