Date,Rain,max_temp,min_temp
2015-11-01,0,65,54
2015-11-02,0,63,54
2015-11-03,0,72,48
2015-11-04,0,70,56
2015-11-05,1,71,56
2015-11-06,0,74,66
2015-11-07,0,72,53
2015-11-08,0,56,46
2015-11-09,0,59,43
2015-11-10,1,57,51
2015-11-11,1,58,49
2015-11-12,1,61,51
2015-11-13,0,58,46
2015-11-14,0,49,42
2015-11-15,0,58,39
2015-11-16,0,67,51
2015-11-17,0,52,40
2015-11-18,0,58,46
2015-11-19,1,64,57
2015-11-20,0,64,46
2015-11-21,0,53,42
2015-11-22,1,55,42
2015-11-23,0,44,33
2015-11-24,0,46,32
2015-11-25,0,50,36
2015-11-26,0,60,41
2015-11-27,0,64,51
2015-11-28,1,64,45
2015-11-29,0,49,38
2015-11-30,0,47,33
